slug,name,club,competition,stats_source,news_source,priority,notes
pablo-mera,Pablo Mera,Real Madrid,,,"",high,
cleusio-castro,Cleusio Castro,Petro de Luanda,BAL / Angola,,,"high","Track BAL, Angola national team and club updates"
