"slug","name","type","club","league","nationality","search_terms","priority","notes"
"philomene-khady","Philomene Khady","player","GIJON","FEB LF2","Senegal","Philomene Khady GIJON basketball; Philomene Khady stats; Philomene Khady FEB LF2; Philomene Khady news","medium",""
"raida-luisa","Raida Luisa","player","Cab Madeira","Liga betclic","Mozambique","Raida Luisa Cab Madeira basketball; Raida Luisa stats; Raida Luisa Liga betclic; Raida Luisa news","medium",""
"raphaella-monteiro","Raphaella Monteiro",,"Melilla","LF 2","Brazilian","Raphaella Monteiro Melilla basketball; Raphaella Monteiro stats; Raphaella Monteiro LF 2; Raphaella Monteiro news","medium",""
"sabina-carli","SABINA CARLI",,"CB SEVILLA","LF 2","Espanhola","SABINA CARLI CB SEVILLA basketball; SABINA CARLI stats; SABINA CARLI LF 2; SABINA CARLI news","medium",""
"salvador","Salvador",,"Free Agent","FPB","Portuguesa","Salvador Free Agent basketball; Salvador stats; Salvador FPB; Salvador news","medium",""
"sarah-brans","Sarah Brans","player","CORTEGADA","FEB LF2","American","Sarah Brans CORTEGADA basketball; Sarah Brans stats; Sarah Brans FEB LF2; Sarah Brans news","medium",""
"simao-verde","SimÃƒÂ£o Verde","player","Vitoria de GuimarÃƒÂ£es","Liga Betclic","Portuguese","SimÃƒÂ£o Verde Vitoria de GuimarÃƒÂ£es basketball; SimÃƒÂ£o Verde stats; SimÃƒÂ£o Verde Liga Betclic; SimÃƒÂ£o Verde news","medium",""
"sofia-kosareva","Sofia Kosareva",,"Zamora","FPB","Estonia","Sofia Kosareva Zamora basketball; Sofia Kosareva stats; Sofia Kosareva FPB; Sofia Kosareva news","medium",""
"tunde-olumuyiwa","Tunde Olumuyiwa",,"Coviran Granada","Endesa - ACB","USA","Tunde Olumuyiwa Coviran Granada basketball; Tunde Olumuyiwa stats; Tunde Olumuyiwa Endesa - ACB; Tunde Olumuyiwa news","high",""
"unai-barandalla","Unai Barandalla",,"Bilbao","Endesa - ACB","Spanish","Unai Barandalla Bilbao basketball; Unai Barandalla stats; Unai Barandalla Endesa - ACB; Unai Barandalla news","high",""
"uxia-rodriguez","UxÃ­a RodrÃ­guez",,"CELTA FEMXA ZORKA VIGO","Endesa","Espanhola","UxÃ­a RodrÃ­guez CELTA FEMXA ZORKA VIGO basketball; UxÃ­a RodrÃ­guez stats; UxÃ­a RodrÃ­guez Endesa; UxÃ­a RodrÃ­guez news","high",""
"victor-rubio","Victor Rubio",,"Tijola","Feb","Espahola","Victor Rubio Tijola basketball; Victor Rubio stats; Victor Rubio Feb; Victor Rubio news","medium",""
